dispell	무효화
reverse magical alignment change	마법적으로 변경된 성향을 되돌림
restore class	직업 복구
restore cleric or druid spell powers	사제나 드루이드 주문의 힘 복구
redemption or temptation	구원과 유혹 사이
chaining	묶임
slumber	수면
bound slumber	묶인 수면
hedged prison	생울타리 감옥
minimus containment	견제성 축소화
weakened	약화됨
killed	죽음
3 or 4	3 또는 4
approach	가까이와
drop	손에서 떨어뜨려
fall	엎드려
flee	도망가
halt	멈춰
avoid int/cha decrease	지/매 감소 방지
results of a successful contact	성공적인 접촉 결과
true answer	정답
don’t know	모름
lie	거짓말
random answer	무작위 답변
lower water	수위 낮추기
raise water	수위 올리기
wind direction	바람 방향
wind strength	바람의 세기
lingering aura	오래가는 오라
target or area	목표물 또는 범위
each additional round	각 추가 라운드
slowed	둔화됨
prune growth	가지치기 성장
stunt growth	성장 방해
targeted dispel	목표물 지정 무효화
area dispel	범위 무효화
cave, cavern, or tunnel	굴, 동굴, 터널
open ground	개방된 지형
structure	구조
river, lake, or marsh	강, 호수, 늪
pinned beneath rubble	잔해 아래 고정당함
comatose	혼수상태
acorn grenades	도토리 수류탄
holly berry bombs	호랑가시나무 열매 폭탄
warm shield	따뜻한 방패
chill shield	시원한 방패
alignments identical	성향 동일
alignments different with respect to	성향 차이 있음
barred cage	빗장 걸린 우리
windowless cell	창문 없는 감방
calling creatures	생명체 부르기
blast glyph	폭발 문양
spell glyph	주문 문양
lost doors	잊혀진 문
component	요소
prepare	준비
retain	유지
overgrowth	과성장
enrichment	비옥화
fireworks	불꽃놀이
smoke cloud	연막 구름
area or target	범위 또는 목표물
verbal component	음성 요소
7 to 12	7 ~ 12
5th through 10th rounds	5 ~ 10 라운드
sustained force	지속되는 힘
combat maneuver	전투 기동
violent thrust	난폭하게 던지기
familiarity	친숙함
on target	목표에 정확히 옴
off target	목표에서 벗어남
similar area	비슷한 지역
mishap	불발
spell completion	주문 완료
trigger object	물체 트리거
ice plane	얼음 평면
hemisphere	반구체
command word	명령 단어
use activated	사용 발동
armor and weapon sizes	갑옷 및 무기 크기
magic item gold piece values	마법 아이템 금화 가치
multiple similar abilities	여러 비슷한 능력
multiple different abilities	여러 다른 능력
other considerations	기타 고려사항
caster level for armor and shields	갑옷 및 방패에 대한 시전자 레벨
shield hardness and hit points	방패 경도 및 히트 포인트
activation	사용 선언
wild	야생
breastplate of command	명령의 가슴보호갑
caster level for weapons	무기에 대한 시전자 레벨
ranged weapons and ammunition	원거리 무기 및 탄약
magic ammunition and breakage	마법 탄약과 부서짐
light generation	빛 발생
hardness and hit points	경도 및 히트 포인트
magic weapons and critical hits	마법 무기 및 치명타 히트
weapons for unusually sized creatures	비정상적인 크기의 생명체를 위한 무기
dancing	춤
defending	방어
distance	거리
physical description	물리적 묘사
identifying potions	물약 식별하기
animal friendship	동물 우정
friend shield	친구 방패
absorption	흡수
cancellation	상쇄
enemy detection	적 탐지
flailing	도리깨질
flame extinguishing	화염 소화
immovable rod	움직이지 않는 마법봉
lordly might	군주 권능
metal and mineral detection	금속과 광물 탐지
metamagic, empower	메타마법, 강화
metamagic, enlarge	메타마법, 범위 연장
metamagic, extend	메타마법, 시간 연장
metamagic, maximize	메타마법, 최대화
metamagic, quicken	메타마법, 빠른 주문
metamagic, silent	메타마법, 주문 암송
negation	무효화
python	파이썬
rulership	통치권
security	안보
splendor	화려함
thunder and lightning	천둥번개
viper	바이퍼
withering	위축
wonder	의문
decipher the writing	글귀 해독하기
activate the spell	주문 발동
determine effect	효과 결정하기
scroll mishaps	두루마리 불발
defense	방어
life	생명
tree	나무
delusion	망상
opposite effect or target	반대 효과 또는 목표물
intermittent functioning	간헐적 작동
unreliable	신뢰불가
dependent	종속성
uncontrolled	제어불가
requirement	요구사항
drawback	단점
fates	운명
flames	불
key	열쇠
moon	달
star	별
sun	해
retributive strike	보복 공격
mucus cloud	점액 구름
black cloud	검은 구름
babble	주절거림
madness	광기
stun	기절시키기
blind	실명
spit acid	산성 침뱉기
aura of menace	위협의 오라
light ray	빛의 광선
trumpet	트럼펫
electricity ray	전기 광선
heat	열
petrifying gaze	석화의 시선
smoke claws	연막 발톱
smoke form	연막 형태
death gaze	죽음의 시선
vulnerability to sunlight	태양에 취약함
whirlwind blast	훨윈드 폭발
corporeal instability	형체 불안정성
immunity to transformation	변형 면역
paralytic tentacles	마비 촉수
amphibious	양서류
moan	신음
unnerve	무기력화
nausea	메스꺼움
stupor	인사불성
engulf	집어삼키기
shadow shift	어둠 전위
obscure vision	침침한 시야
dancing images	춤추는 환영
petrification	석화
corrosive slime	부식성 슬라임
protective slime	보호용 슬라임
summon demon	데몬 소환
death throes	최후의 발악
flaming body	화염 신체
rend armor	갑옷 찢기
stench	악취
smite	처벌
eye rays	시선 광선
electricity	전기
find target	목표물 찾기
dance of ruin	파멸의 춤
spores	포자
stunning screech	기절의 비명
destructive harmonics	파괴의 화음
flesh	살덩이
nerves	뇌신경
immunities	면역
protection from sonics	음파로부터 보호
impale	꿰뚫기
summon devil	악마 소환
barbed defense	가시 돋친 방어
infernal wound	지옥의 상처
beard	턱수염
battle frenzy	전투 광란
dancing chains	춤추는 사슬
unnerving gaze	무기력화 시선
invisible in light	가시광선상 투명화
mindless	무의식
trap essence	함정의 정수
acid spray	산성 스프레이
rend	찢기
ferocity	흉포
attach	부착
blood drain	피 흡수
claw	발톱
wing	날개
tail slap	꼬리 후려치기
crush	으깨기
tail sweep	꼬리 쓸어내기
keen senses	예리한 감지
corrupt water	오염된 물
charm reptiles	파충류 매혹
other spell-like abilities	기타 유사주문 능력
create/destroy water	물 생성/제거
sound imitation	소리 흉내내기
icewalking	얼음걷기
freezing fog	빙결 안개
summon djinni	지니 소환
luck bonus	행운 보너스
detect gems	보석 탐지
cloudwalking	구름걷기
capsize	뒤집기
roar	포효
tree dependent	나무 종속성
air mastery	바람 마스터
earth mastery	대지 마스터
push	밀기
earth glide	대지 글라이드
burn	태우기
water mastery	물 마스터
drench	흠뻑 적시기
vortex	소용돌이
superior two-weapon fighting	우수한 쌍수무기 전투술
hive mind	군중 의식
dominated creature	지배 받는 생명체
trill	떨림음
shriek	비명
freeze	빙결
change size	크기 변화
protective aura	보호 오라
corrupting gaze	부패의 시선
corrupting touch	부패의 접촉
draining touch	흡수의 손길
frightful moan	끔찍한 신음
horrific appearance	무시무시한 형체
malevolence	증오
ghoul fever	구울 열병
rock throwing	돌 던지기
rock catching	돌 잡기
oversized weapon	과대 무기
gibbering	횡설수설
spittle	침거품
ground manipulation	지형 가공
amorphous	무정형
immunity to magic	마법 면역
berserk	광분
cursed wound	저주받은 상처
weakness	약화
mimicry	따라하기
evil eye	악의 눈
captivating song	매혹적인 노래
fiery bite	불타는 이빨
quills	가시
howl	하울링
fists of thunder and lightning	천둥번개의 주먹
natural invisibility	선천적 투명화
improved tracking	향상된 추적
light sensitivity	빛에 민감함
jet	분출
ink cloud	먹물 구름
paralyzing touch	마비의 손길
hold breath	숨 참기
bear empathy	곰과의 교감
curse of lycanthropy	늑대인간화 저주
lycanthropic empathy	늑대인간과의 교감
base save bonuses	기본 내성 보너스
retry	재시도
combustion	연소
fiery aura	불의 오라
melt weapons	무기 녹이기
spikes	가시
summon mephit	메피트 소환
adhesive	접착
mimic shape	모방 변신
natural cunning	선척적 교활함
despair	절망
resistance to charm	매혹 저항
guarded thoughts	정신 방어
spit	침뱉기
dream haunting	꿈 속 출몰
flaming hooves	화염 발굽
smoke	연막
aversion to daylight	햇살 혐오
desecrating aura	더럽힘 오라
summon undead	언데드 소환
crush item	아이템 으깨기
prior to combat	전투 시작 전
blinding beauty	실명시키는 아름다움
stunning glance	기절시키는 곁눈질
unearthly grace	섬뜩한 우아함
split	나누기
transparent	투명
superior low-light vision	우수한 저광시야
resilient	탄성
paralyzing gaze	마비 시선
positive energy lash	양에너지 후려치기
drag	끌기
strands	발묶기
rust	녹
blood frenzy	피의 광란
freshwater sensitivity	민물에 민감함
light blindness	빛에 실명
speak with sharks	상어와 말하기
water dependent	물 종속성
pipes	파이프
create spawn	스폰 생성
bay	으르렁 거리기
shadow blend	어둠에 섞이기
immunity to electricity	전기 면역
find master	주인 찾기
guard	경호
lethal shock	살상 충격
electricity sense	전기 감지
immunity to cold	냉기 면역
damage reduction 5/bludgeoning	피해 축소 5/때려패기
unnatural aura	비자연적 오라
sunlight powerlessness	태양광선에 무기력함
implant	주입하기
fiddle	피들
special arrows	특수 화살
memory loss	기억상실
inhabit	서식
augmented critical	증강 치명타
rush	쇄도
carapace	껍질
all-around vision	전방위 시야
animate trees	살아 움직이는 나무
double damage against objects	물체 상대로 두배 피해
children of the night	어둠의 자식들
repelling a vampire	뱀파이어 퇴치
slaying a vampire	뱀파이어 도살
kiss	키스
freezing bite	빙결의 이빨
daylight powerlessness	햇살에 무기력함
lifesense	생명감지
planewalk	이세계보행
sonic lance	음파 랜스
explosion	폭파
base attack	기본 공격
single actions only	단일 행동만 가능
stampede	몰려달리기
sprint	질주
acid sting	산성 독침 공격
increased hit dice	히트 다이스 증가
elite array	엘리트 배열
nonelite array	비 엘리트 배열
ability score improvement	능력 점수 향상
level adjustment and effective character level	레벨 보정 및 효율적 캐릭터 레벨
feat acquisition and ability score increases	특기 획득 및 능력 점수 올리기
base saves	기본 내성 굴림
starting level of a monster pc	몬스터 PC 시작 레벨
ability scores for monster pcs	몬스터 PC 능력치
other statistics for monsters	몬스터 기타 수치
experience for monsters	몬스터 경험치
manifesting powers on the defensive	방어 상태에서 파워 구현
preventing revivif cation	소생 방지하기
revivif cation against one’s will	의지에 반하는 소생
psionics–magic transparency	사이오닉–마법 투명성
multiple effects	다중 효과
powers and spells with opposite effects	반대 효과가 있는 파워 및 주문
daily power point acquisition	일일 파워 포인트 획득
recent manifesting limit/rest interruptions	최근 구현 한도/휴식 방해
peaceful environment	평화 상태 환경
regaining power points	파워 포인트 다시 채우기
death and power points	죽음과 파워 포인트
powers gained at a new level	새로운 레벨에서 얻는 파워
a single source	단 하나의 근원
recharging	재충전
dispense with displays	표출요소 생략하기
cone, line, or sphere	원뿔, 선형, 구형
touch powers and holding the charge	접촉 파워와 시전 보류
failing a saving throw against mind-affecting powers	정신영향계 파워에 상대하여 내성 굴림에 실패
power point limit	파워 포인트 한도
augment	증강
how to determine bonus power points	보너스 파워 포인트 결정하는 법
power points/day	파워 포인트/일
powers known	알려진 파워
maximum power level known	알려진 최대 파워 레벨
spells per day/powers known	알려진 일일 주문 개수/파워
multiclass note	멀티직업 비고
ignore caltrop wound	마름쇠 상처 무시
memorize	암기
resist dying	죽어가고 있음 상태 저항
resist fear	공포 저항
tolerate poison	독 견디기
willpower	의지력
gain psionic focus	사이오닉 초점 얻기
address a power stone	파워스톤 정체 밝히기
use a dorje	도졔 사용하기
use a power stone	파워스톤 사용하기
limits on use	사용 한도
effects of metapsionic feats on a power	파워에 적용되는 메타사이오닉 특기 효과
precognitionion, offensive	예지, 공격적
remove compulsion	강요 제거
decrease	감소
increase	증가
sonic	음파
3rd and subsequent rounds	세번째 라운드 이후
working manipulated metals	이미 가공된 금속 작업
single target	단일 목표물
1st minute	1분
2nd minute	2분
3rd minute	3분
4th minute	4분
5th minute	5분
6th+ minute	6분~
repair psychic damage	초자연적 피해 수리
transfer knowledge	지식 양도하기
construct traits	구조물 특성
astral construct menu a	영적 구조물 메뉴 A
buff	버프
celerity	민첩함
improved slam attack	향상된 뭉개기 공격
astral construct menu b	영적 구조물 메뉴 B
energy touch	에너지 접촉
heavy deflection	센 굴절
improved buff	향상된 버프
muscle	근육
astral construct menu c	영적 구조물 메뉴 C
concussion	뇌진탕
extra buff	추가 버프
extreme damage reduction	극한 피해 축소
extreme deflection	극한 굴절
hide mind	정신 숨기기
power conversion	파워 개조
steal essence	도둑질 정수
repletion	만복
resilience	탄성
liquefy crystal	유리결정 액화
null psionic exhalation	무의 사이오닉 발산
fire acclimated	화염 적응
powerful build	강한 체격
body thief	육체 도둑
vulnerability to protection from evil	악 방어 마법에 취약함
outburst	급폭발
naturally psionic	선천적인 사이오닉
mind feed	정신 먹이
psicrystal granted abilities	정신결정의 보장된 능력
immunity to psionics	사이오닉 면역
host protection	주인 보호
time filch	시간 도둑질
eat thoughts	사념 먹기
mind-consuming gaze	정신 흡수 시선
double manifest	두배 구현
plant traits	식물 특성
power completion	파워 완료
command thought	정신성 명령
use-activated	사용 발동
cost to create	제작 비용
seeing	보기
wall	벽
collision	충돌
addressing the stone	스톤 정체 밝히기
brainburn	뇌태우기
astral legion	영적 세계 군단
beast	짐승
cautious warrior	신중한 군인
discerning watcher	냉철한 파수꾼
evader	기피자
fiery ruin	불길 파멸
temporal juggler	즉석 요술사
traveler	여행가
scribing and transferring tattoos	문신 새기기 및 양도하기
identifying psionic tattoos	사이오닉 문신 식별하기
psionatrix of clairsentience	초감각 사이온내트릭스
psionatrix of metacreativity	재귀창조 사이온내트릭스
psionatrix of psychokinesis	염동력 사이온내트릭스
psionatrix of psychometabolism	정신적대사작용 사이온내트릭스
psionatrix of psychoportation	시공간초월 사이온내트릭스
psionatrix of telepathy	정신감응 사이온내트릭스
expose	밝히기
gather	모으기
penetrate	침투하기
repudiate	부인하기
view	보기
backfire	뒷통수
exhausting	탈진시킴
subversive	불온함
class skill max ranks	직업 스킬 최고 등급
cross-class skill max ranks	교차직업 스킬 최고 등급
enchant arrow	화살 마법부여
saving throw bonus against poison	독 내성 굴림 보너스
defensive awareness	방어적 인지
uncanny location	기묘한 장소
tracking bonus	추적 보너스
force sphere	힘의 구
superior planar summoning	우수한 이세계 소환
naturalization	유입
enduring gate	항구적 관문
cosmic connection	범우주적 연결
granted domain	보장된 계열
extra smite	추가 처벌
divine hand	신성한 손길
cover identity	신분 감추기
improved cover identity	향상된 신분 감추기
specialist training	전문가 훈련
subterfuge	속임수
espionage	첩보행위
interaction	상호작용
far senses	원거리 감지
uncanny dodge enabler	기묘한 회피 조력자
evasive preceptor	회피 지도 교사
adjust probability	확률 보정
call back	다시 부르심
proselytize	개종
unstoppable	막을 수 없음
unmovable	움직일 수 없음
shrug off punishment	가혹함 무시
thick skinned	두꺼운 살가죽
improved legerdemain	향상된 마술
shadow form	그림자 형상
portal guardian	관문의 수호자
instill suggestion in target	목표물에게 제안 주입시키기
display false alignment	가짜 성향 보여주기
disguise surface thoughts	표면적 사념 변장
quick creation	빠른 제작
create augmented alchemical item or substance	증강된 연금술 아이템이나 물질 제작
fanatic	광신도
extremely tight space	극도로 좁은 공간
pass through wall of force	힘의 장벽 통과
forge document without sample	표본 없이 문서 위조
avoid suspicion	의심 회피
reduce teaching/training	교육량/훈련량 줄이기
quicken recovery	회복 가속
perfect recovery	완벽한 회복
hide another	다른이 숨기기
defeat illusion	환영 물리치기
stand on mount	탈것에서 일어서기
unconscious control	무의식 조종
attack from cover	엄폐로부터 공격
sense magic	마법 감지
discern partial alignment	부분적 성향 눈치 채기
discern full alignment	전체 성향 눈치 채기
detect surface thoughts	표면적 사념 탐지
identify basic property of magic item	마법 아이템의 기본 속성 식별하기
identify all properties of magic item	마법 아이템의 모든 속성 식별하기
quick identification	빠른 식별
pronounce unfamiliar language	낯선 언어 말하기
swim up waterfall	폭포를 거슬러 수영
free stand	자유 일어서기
climb vertical surface	수직 지형 등반
ignore falling damage	낙하 피해 무시하기
quick splicing	빠른 이어붙이기
tie unique knot	유니크 형태 매듭 묶기
animate held rope	잡은 밧줄 살아 움직이게 하기
learn scryer	염탐자 알아내기
return scrying	염탐 돌려보내기
break scrying	염탐 부수기
epic spell slots	에픽 주문 슬롯
factor	요인
mitigating factor	완화 요인
seed	씨앗
to cast an epic spell	에픽 주문 시전하기
level of an epic spell	에픽 주문 레벨
saving throw for an epic spell	에픽 주문 내성 굴림
to develop	개발하기
round one	첫째 라운드
round two	둘째 라운드
round three	셋째 라운드
resource cost	자원 비용
development time	개발 기간
adding seed dcs	씨앗 DC 추가하기
determining school	학파 결정하기
combining descriptors	표지 조합하기
combining components and casting times	구성요소 및 시전 시간 조합하기
combining range, targets, area, and effect	거리, 목표물, 범위, 효과 조합하기
combining durations	지속시간 조합하기
development is an art	개발은 예술이다
approval	승인
additional participants	추가 참가자
target or effect	목표물이나 효과
great reflection	상급 반영
the path	경로
winter	겨울
summon creature	생명체 소환
unique abilities	유니크 능력
summon iron golem	강철 골렘 소환
rebuke/command undead	언데드 명령/호통
negative energy aura	음에너지 오라
summon nightcrawler	밤렁이 소환
summon air elemental	바람 원소 소환
worst nightmare	최악의 밤마귀
summon nightwalker	밤걷는이 소환
superior multiweapon fighting	우수한 다중무기 공격
summon hecatoncheires	헤카톤케이레스 소환
spell suck	주문 빨아들이기
learned spell immunity	한번 겪은 주문 면역
summon fiend	핀드 소환
fiery touch	불의 접촉
fiery overrun	불의 쇄도
summon elder fire elemental	노령의 불의 원소 소환
oozelike immunities	늪괴물 유사 면역
stasis touch	시간동결 접촉
chronal blast	시간대 폭발
time leach	시간 침출
summon past time duplicate	과거 시간대 복사체 소환
null time field	무의 시간의 장
summon white dragon	하얀 드래곤 소환
frightful howl	끔찍한 하울링
savage	흉악함
magic immunity	마법 면역
negative energy affinity	음에너지 친화
rustproof	방청
perfect automatic still spell	완벽한 자동 부동 주문
phylactery transference	부적 양도
squeeze	쥐어짜기
acid cloud	산성 구름
age category	나이 범주
size	크기
maximize spell-like ability	유사주문 능력 최대화
immune to force	힘 면역
deflecting force	힘 굴절
immune to light and blindness	빛과 실명에 면역
quiescence	침묵
alacrity	활발함
destabilize form	형태 불안정화
alter shape	모양 변경
misty breath	안개 숨결
hunefer rot	후네퍼 부패
blazefire	타오르는 섬광
heat aura	열기 오라
fiery hardness	화염의 견고함
recognition	인식
safekeeping	안전보관
spore cough	포자 기침
sticky	끈적함
head-tentacles	머리 촉수
extract brains	뇌 추출
dimensional travel	차원 이동
amorphous physiology	무정형 생리
manifest maw	목구멍 구현
prismatic emanations	무지갯빛 발산물
constant insight	불변의 통찰력
rotting constriction	부패의 수축
blightfire	역병의 불길
cold aura	냉기 오라
stunning roar	기절의 포효
headloss resistance	참수 저항
cocoon	고치
triple damage against objects	물체 상대로 세배 피해
disintegrating touch	접촉 분해
spell immunities	주문 면역
aura of doom	파멸의 오라
concealing aura	감춰진 오라
discorporate	탈출
possessions	소지품
bypassing damage reduction	피해 축소 우회하기
always maximize roll	항상 최대 굴림
mind-affecting effects	정신영향계 효과
immortality	불멸
senses	감지
remote sensing	원거리 감지
block sensing	감지 방어
portfolio	포트폴리오
portfolio sense	포트폴리오 감지
automatic actions	자동 행동
create magic items	마법 아이템 제작
fright	두려움
resolve	결의
grant spells	보장된 주문
communication	의사소통
remote communication	원거리 의사소통
godly realm	신성 왕국
travel	여행
using salient divine abilities	특화 신성 능력 사용하기
notes	비고
courage	용기
frenzy	광란
hope	희망
love and desire	사랑과 욕망
general	일반
rounding fractions	분수의 반올림
multiplying	곱하기
abilities and spellcasters	능력치와 주문시전자
alignment and description	성향 및 묘사
description	묘사
the nine alignments	아홉 종류의 성향
vital statistics	생명 수치
age	나이
height and weight	키와 몸무게
favored class	선호 직업
small characters	소형 캐릭터
turn or rebuke undead	언데드 퇴치
special mount	특수 탈것
the paladin’s mount	성기사의 탈것
paladin’s mount basics	성기사의 탈것 기본
special abilities	특수 능력
familiar ability descriptions	패밀리어 능력 설명
skills summary	스킬 개요
using skills	스킬 사용하기
trying again	다시 시도하기
favorable and unfavorable conditions	호조건 및 악조건
combining skill attempts	스킬 시도를 조합하기
individual events	개별 사건
skill descriptions	스킬 설명
skill name	스킬 이름
repairing items	아이템 수리
hide	숨기
perform	공연
types of feats	특기 유형
feat descriptions	특기 설명
feat name	특기 이름
extra turning	추가 구마
improved turning	향상된 구마
weapons	무기
weapon categories	무기 분류
melee and ranged weapons	근접 및 원거리 무기
weapon qualities	무기 품질
weapon descriptions	무기 설명
bolts	석궁화살
masterwork weapons	명품 무기
armor qualities	갑옷 품질
arcane spell failure	비전 주문 실패
armor descriptions	갑옷 설명
armor for unusual creatures	비표준 규격 갑옷
getting into and out of armor	갑옷 장착 및 탈착
goods and services	재화 및 용역
adventuring gear	모험 장비
special substances and items	특수 물질과 아이템
tools and skill kits	도구와 스킬 키트
clothing	의류
food, drink, and lodging	음식, 음료, 숙박
mounts and related gear	승마와 승마에 관련된 장비
transport	운송수단
spellcasting and services	주문시전과 용역
special weapons materials	특수 무기 재료
how combat works	전투 진행 방법
multiplying damage	곱 피해
actions in combat	전투 내 행동
cast a spell	주문 시전
activate magic item	마법 아이템 사용
use special ability	특수 능력 사용
spell-like abilities	유사주문 능력
supernatural abilities	초자연적 능력
extraordinary abilities	비범 능력
start/complete full-round action	전체 라운드 행동 시작과 종료
move	이동
draw or sheathe a weapon	무기 장착 및 탈착
ready or loose a shield	방패 준비 또는 해제
manipulate an item	아이템 시전
direct or redirect a spell	주문 방향 지정
stand up	일어서기
mount/dismount a steed	탈것에 오르고 내리기
stable characters and recovery	캐릭터 안정화와 회복
nonlethal damage	비살상 피해
healing nonlethal damage	치료 비살상 피해
movement, position, and distance	이동, 위치, 거리
how far can your character move?	내 캐릭터는 얼마나 이동할 수 있나?
moving through a square	한 정사각형 이동
special movement rules	특수 이동 규칙
big and little creatures in combat	크거나 작은 생명체의 전투
cover and hide checks	엄폐 및 숨기 판정
concealment and hide checks	은폐 및 숨기 판정
helpless defenders	무력화 상태의 상대방
throw splash weapon	비산 무기 투척
special abilities and conditions	특수 능력 및 상태이상
special abilities & conditions	특수 능력 & 상태이상
ability score loss	능력 점수 손실
disease descriptions	질병 설명
when spell resistance applies	주문 저항이 적용되는 조건
successful spell resistance	주문 저항의 성공
conditions	상태이상
definitions of terms	용어 정의
types, subtypes, and special abilities	생명체의 유형, 하위유형, 특수 능력
types, subtypes, & special abilities	유형, 하위유형, & 특수 능력
carrying, movement, and exploration	운반, 이동, 탐험
carrying, movement, & exploration	운반, 이동, & 탐험
carrying capacity	운반 수용량
armor and encumbrance for other base speeds	다른 기본 속도에 대한 갑옷 및 방해물
local movement	지역 내 이동
moving in three dimensions	3차원 이동
tactical aerial movement	전략적 공중 이동
evasion and pursuit	회피기동 및 추격
moving around in squares	정사각형 간 이동
exploration	탐험
breaking and entering	통로개척
smashing an object	물체 부수기
magic armor, shields, and weapons	마법 갑옷, 방패, 무기
breaking items	아이템 부수기
monsters with treasure	전리품을 가진 몬스터
using the treasure table	전리품 테이블 사용하기
wilderness, weather, and environment	야생, 날씨, 환경
wilderness, weather, & environment	야생, 날씨, 환경
types of dungeons	던전 유형
floors	바닥
special floors	특수 바닥
trap floors	함정 바닥
doors	문
magic doors	마법 문
walls, doors, and detect spells	벽, 문, 감지 주문
rooms	방
cave-ins and collapses	굴파기 및 붕괴
wilderness	야생
getting lost	길잃음
catching on fire	불 붙음
sandstorms	모래폭풍
underwater combat	수중 전투
floods	홍수
urban adventures	도시 모험
weapon and spell restrictions	무기 및 주문 제한
urban features	도시 요소
guards and soldiers	경비병과 병사
city streets	도시의 거리
above and beneath the streets	거리의 위와 아래
city buildings	도시의 건물
buying buildings	건물 구매
city lights	도시의 광도
weather	날씨
rain, snow, sleet, and hail	비, 눈, 진눈깨비, 우박
fog	안개
winds	바람
cold dangers	저온 피해
ice effects	빙판길 효과
darkness	암흑
falling	낙하
falling damage	낙하 피해
falling objects	물체 낙하
heat dangers	고온 피해
lava effects	용암 효과
starvation and thirst	굶주림과 목마름
suffocation	질식
slow suffocation	천천히 질식
water dangers	익수 사고
drowning	숨참기
elements of a trap	함정의 요소
trigger	트리거
reset	초기화
repairing and resetting mechanical traps	기계적 함정 수리 또는 초기화하기
bypass	우회
sample traps	간편 함정
designing a trap	함정 설계하기
challenge rating of a trap	함정의 도전 지수
magic device trap cost	마법 장치 함정 비용
craft dcs for mechanical traps	기계적 함정 제작에 필요한 Dc
what is a plane?	이세계란 무엇인가?
physical traits	물리적 속성
elemental and energy traits	정령과 에너지 속성
how planes interact	이세계간 상호작용은 어떻게 하는가?
plane descriptions	이세계 설명
magic overview	마법 개요
casting spells	주문 시전하기
choosing a spell	주문 선택하기
spell failure	주문 실패
the spell’s result	주문의 결과
combining magical effects	주문 효과 조합하기
spell descriptions	주문 설명
name	이름
shadow	그림자
aiming a spell	주문 조준하기
descriptive text	설명 문구
preparing wizard spells	마법사 주문 준비
preparing divine spells	신성 주문 준비
new divine spells	새로운 신성 주문
aid	보조
2 aid	2 보조
mount	탈것 소환
spells c	주문 (C)
using items	아이템 사용
spell trigger	주문 트리거
magic items on the body	착용 가능한 마법 아이템
saving throws against magic item powers	마법 아이템이 가진 힘에 대한 내성 굴림
damaging magic items	마법 아이템의 피해
repairing magic items	마법 아이템의 수리
charges, doses, and multiple uses	충전, 용량, 다회 사용
magic item descriptions	마법 아이템 설명
creating magic items	마법 아이템 제작
creating magic armor	마법 갑옷 제작
creating magic weapons	마법 무기 제작
creating potions	물약 제작
creating rings	반지 제작
creating rods	마법봉 제작
creating scrolls	두루마리 제작
creating staffs	마법지팡이 제작
creating wands	마법막대 제작
creating wondrous items	기타 아이템 제작
adding new abilities	새로운 능력 추가
magic armor and shield special ability descriptions	마법 갑옷과 방패 특수 능력 설명
shadow, improved	그림자, 향상된
shadow, greater	그림자, 상급
magic weapon special ability descriptions	마법 무기 특수 능력 설명
potion descriptions	물약 설명
ring descriptions	반지 설명
rod descriptions	마법봉 설명
staff descriptions	마법지팡이 설명
wand descriptions	마법막대 설명
wondrous item descriptions	기타 아이템 설명
languages spoken by item	아이템이 사용하는 언어
special purpose items	특수 목적의 아이템
purpose	목적
dedicated power	헌신의 힘
items against characters	아이템과 캐릭터 간의 갈등
specific cursed items	특정 저주 받은 아이템
minor artifact descriptions	하급 유물 설명
major artifact descriptions	상급 유물 설명
reading the entries	각 항목 읽기
abilities	능력
paladin abilities	성기사 능력
hound archons as characters	사냥개 아콘을 캐릭터로
azers as characters	애이저를 캐릭터로
bugbears as characters	버그베어를 캐릭터로
creating a celestial creature	셀레스티얼 생물체 만들기
centaurs as characters	켄타우로스를 캐릭터로
doppelgangers as characters	도플갱어를 캐릭터로
creating a fiendish creature	핀드 생명체 만들기
gargoyles as characters	가고일을 캐릭터로
jann as characters	잔을 캐릭터로
creating a ghost	유령 만들기
hill giants as characters	언덕 거인을 캐릭터로
stone giants as characters	암석 거인을 캐릭터로
gnolls as characters	놀을 캐릭터로
goblins as characters	고블린을 캐릭터로
grimlocks as characters	그림록을 캐릭터로
creating a half-celestial	하프 셀레스티얼 만들기
creating a half-dragon	하프 드래곤 만들기
creating a half-fiend	하프 핀드 만들기
creating a lich	리치 만들기
lizardfolk as characters	도마뱀인간을 캐릭터로
creating a lycanthrope	라이칸스로프 만들기
lycanthropy as an affliction	병으로서의 늑대인간화
lycanthropes as characters	늑대인간을 캐릭터로
minotaurs as characters	미노타우로스를 캐릭터로
ogres as characters	오우거를 캐릭터로
ogre mages as characters	오우거 마법사를 캐릭터로
orcs as characters	오크를 캐릭터로
aasimar as characters	아시마르를 캐릭터로
tieflings as characters	티플링을 캐릭터로
rakshasas as characters	락샤사를 캐릭터로
satyrs as characters	사티로스를 캐릭터로
greater shadow	상급 어둠
creating a skeleton	스켈레톤 만들기
pixies as characters	픽시를 캐릭터로
trolls as characters	트롤을 캐릭터로
creating a vampire	뱀파이어 만들기
creating a zombie	좀비 만들기
improving monsters	몬스터 개량하기
ability score arrays	능력 점수 배열
increasing hit dice	히트 다이스 늘리기
acquired and inherited templates	템플릿 상속과 획득
reading a template	템플릿 읽기
adding more than one template	한가지 이상 템플릿 추가하기
adding class levels	직업 레벨 추가하기
associated class levels	연관 직업 레벨
nonassociated class levels	비연관 직업 레벨
adding hit dice	히트 다이스 추가하기
increasing size	크기 늘리기
adding special abilities	특수 능력 추가하기
monsters as races	몬스터를 종족으로
